Ref_Date,GEO,STAT,SUMMARY,Value
2013,Atlantic Region,Average expenditure per household,Sugar preparations for baking and desserts,7
2014,Atlantic Region,Average expenditure per household,Sugar preparations for baking and desserts,7
2015,Atlantic Region,Average expenditure per household,Sugar preparations for baking and desserts,6
2016,Atlantic Region,Average expenditure per household,Sugar preparations for baking and desserts,7
2010,Atlantic Region,Average expenditure per household,"Other sugar, confections and preparations",8
2011,Atlantic Region,Average expenditure per household,"Other sugar, confections and preparations",7
2012,Atlantic Region,Average expenditure per household,"Other sugar, confections and preparations",10
2013,Atlantic Region,Average expenditure per household,"Other sugar, confections and preparations",8
2014,Atlantic Region,Average expenditure per household,"Other sugar, confections and preparations",7
2015,Atlantic Region,Average expenditure per household,"Other sugar, confections and preparations",6
2016,Atlantic Region,Average expenditure per household,"Other sugar, confections and preparations",8
2010,Atlantic Region,Average expenditure per household,Candies and chocolates,195
2011,Atlantic Region,Average expenditure per household,Candies and chocolates,221
2012,Atlantic Region,Average expenditure per household,Candies and chocolates,229
2013,Atlantic Region,Average expenditure per household,Candies and chocolates,226
2014,Atlantic Region,Average expenditure per household,Candies and chocolates,242
2015,Atlantic Region,Average expenditure per household,Candies and chocolates,249
2016,Atlantic Region,Average expenditure per household,Candies and chocolates,245
2010,Atlantic Region,Average expenditure per household,Chocolate bars,43
2011,Atlantic Region,Average expenditure per household,Chocolate bars,48
2012,Atlantic Region,Average expenditure per household,Chocolate bars,87
2013,Atlantic Region,Average expenditure per household,Chocolate bars,92
2014,Atlantic Region,Average expenditure per household,Chocolate bars,101
2015,Atlantic Region,Average expenditure per household,Chocolate bars,100
2016,Atlantic Region,Average expenditure per household,Chocolate bars,105
2010,Atlantic Region,Average expenditure per household,Other chocolate confections,66
2011,Atlantic Region,Average expenditure per household,Other chocolate confections,88
2012,Atlantic Region,Average expenditure per household,Other chocolate confections,44
2013,Atlantic Region,Average expenditure per household,Other chocolate confections,38
2014,Atlantic Region,Average expenditure per household,Other chocolate confections,47
2015,Atlantic Region,Average expenditure per household,Other chocolate confections,41
2016,Atlantic Region,Average expenditure per household,Other chocolate confections,46
2010,Atlantic Region,Average expenditure per household,"Baking chocolate, cocoa and chocolate substitutes",11
2011,Atlantic Region,Average expenditure per household,"Baking chocolate, cocoa and chocolate substitutes",11
2012,Atlantic Region,Average expenditure per household,"Baking chocolate, cocoa and chocolate substitutes",13
2013,Atlantic Region,Average expenditure per household,"Baking chocolate, cocoa and chocolate substitutes",16
2014,Atlantic Region,Average expenditure per household,"Baking chocolate, cocoa and chocolate substitutes",16
2015,Atlantic Region,Average expenditure per household,"Baking chocolate, cocoa and chocolate substitutes",16
2016,Atlantic Region,Average expenditure per household,"Baking chocolate, cocoa and chocolate substitutes",14
2010,Atlantic Region,Average expenditure per household,Sugar candy,55
2011,Atlantic Region,Average expenditure per household,Sugar candy,53
2012,Atlantic Region,Average expenditure per household,Sugar candy,61
2013,Atlantic Region,Average expenditure per household,Sugar candy,63
2014,Atlantic Region,Average expenditure per household,Sugar candy,59
2015,Atlantic Region,Average expenditure per household,Sugar candy,72
2016,Atlantic Region,Average expenditure per household,Sugar candy,63
2010,Atlantic Region,Average expenditure per household,Gum,20
2011,Atlantic Region,Average expenditure per household,Gum,21
2012,Atlantic Region,Average expenditure per household,Gum,24
2013,Atlantic Region,Average expenditure per household,Gum,17
2014,Atlantic Region,Average expenditure per household,Gum,20
2015,Atlantic Region,Average expenditure per household,Gum,20
2016,Atlantic Region,Average expenditure per household,Gum,16
2010,Atlantic Region,Average expenditure per household,"Margarine, oils and fats (excluding butter)",82
2011,Atlantic Region,Average expenditure per household,"Margarine, oils and fats (excluding butter)",78
2012,Atlantic Region,Average expenditure per household,"Margarine, oils and fats (excluding butter)",62
2013,Atlantic Region,Average expenditure per household,"Margarine, oils and fats (excluding butter)",66
2014,Atlantic Region,Average expenditure per household,"Margarine, oils and fats (excluding butter)",74
2015,Atlantic Region,Average expenditure per household,"Margarine, oils and fats (excluding butter)",69
2016,Atlantic Region,Average expenditure per household,"Margarine, oils and fats (excluding butter)",67
2010,Atlantic Region,Average expenditure per household,Margarine,51
2011,Atlantic Region,Average expenditure per household,Margarine,48
2012,Atlantic Region,Average expenditure per household,Margarine,36
2013,Atlantic Region,Average expenditure per household,Margarine,39
2014,Atlantic Region,Average expenditure per household,Margarine,41
2015,Atlantic Region,Average expenditure per household,Margarine,39
2016,Atlantic Region,Average expenditure per household,Margarine,36
2010,Atlantic Region,Average expenditure per household,Cooking and salad oils,20
2011,Atlantic Region,Average expenditure per household,Cooking and salad oils,21
2012,Atlantic Region,Average expenditure per household,Cooking and salad oils,19
2013,Atlantic Region,Average expenditure per household,Cooking and salad oils,19
2014,Atlantic Region,Average expenditure per household,Cooking and salad oils,29
2015,Atlantic Region,Average expenditure per household,Cooking and salad oils,22
2016,Atlantic Region,Average expenditure per household,Cooking and salad oils,24
2010,Atlantic Region,Average expenditure per household,Other oils and fats,11
2011,Atlantic Region,Average expenditure per household,Other oils and fats,9
2012,Atlantic Region,Average expenditure per household,Other oils and fats,7
2013,Atlantic Region,Average expenditure per household,Other oils and fats,8
2014,Atlantic Region,Average expenditure per household,Other oils and fats,4
2015,Atlantic Region,Average expenditure per household,Other oils and fats,8
2016,Atlantic Region,Average expenditure per household,Other oils and fats,7
2010,Atlantic Region,Average expenditure per household,"Condiments, spices and vinegars",198
2011,Atlantic Region,Average expenditure per household,"Condiments, spices and vinegars",202
2012,Atlantic Region,Average expenditure per household,"Condiments, spices and vinegars",204
2013,Atlantic Region,Average expenditure per household,"Condiments, spices and vinegars",194
2014,Atlantic Region,Average expenditure per household,"Condiments, spices and vinegars",196
2015,Atlantic Region,Average expenditure per household,"Condiments, spices and vinegars",224
2016,Atlantic Region,Average expenditure per household,"Condiments, spices and vinegars",208
2010,Atlantic Region,Average expenditure per household,"Mayonnaise, salad dressings and dips",56
2011,Atlantic Region,Average expenditure per household,"Mayonnaise, salad dressings and dips",59
2012,Atlantic Region,Average expenditure per household,"Mayonnaise, salad dressings and dips",64
2013,Atlantic Region,Average expenditure per household,"Mayonnaise, salad dressings and dips",61
2014,Atlantic Region,Average expenditure per household,"Mayonnaise, salad dressings and dips",58
2015,Atlantic Region,Average expenditure per household,"Mayonnaise, salad dressings and dips",68
2016,Atlantic Region,Average expenditure per household,"Mayonnaise, salad dressings and dips",55
2010,Atlantic Region,Average expenditure per household,"Pasta and pizza sauces (canned, bottled or dried)",19
2011,Atlantic Region,Average expenditure per household,"Pasta and pizza sauces (canned, bottled or dried)",21
2012,Atlantic Region,Average expenditure per household,"Pasta and pizza sauces (canned, bottled or dried)",21
2013,Atlantic Region,Average expenditure per household,"Pasta and pizza sauces (canned, bottled or dried)",17
2014,Atlantic Region,Average expenditure per household,"Pasta and pizza sauces (canned, bottled or dried)",20
2015,Atlantic Region,Average expenditure per household,"Pasta and pizza sauces (canned, bottled or dried)",22
2016,Atlantic Region,Average expenditure per household,"Pasta and pizza sauces (canned, bottled or dried)",23
2010,Atlantic Region,Average expenditure per household,"Other sauces and gravies (canned, bottled or dried)",46
2011,Atlantic Region,Average expenditure per household,"Other sauces and gravies (canned, bottled or dried)",41
2012,Atlantic Region,Average expenditure per household,"Other sauces and gravies (canned, bottled or dried)",36
2013,Atlantic Region,Average expenditure per household,"Other sauces and gravies (canned, bottled or dried)",35
2014,Atlantic Region,Average expenditure per household,"Other sauces and gravies (canned, bottled or dried)",38
2015,Atlantic Region,Average expenditure per household,"Other sauces and gravies (canned, bottled or dried)",40
2016,Atlantic Region,Average expenditure per household,"Other sauces and gravies (canned, bottled or dried)",31
2010,Atlantic Region,Average expenditure per household,Dried herbs and spices,15
2011,Atlantic Region,Average expenditure per household,Dried herbs and spices,13
2012,Atlantic Region,Average expenditure per household,Dried herbs and spices,18
2013,Atlantic Region,Average expenditure per household,Dried herbs and spices,13
2014,Atlantic Region,Average expenditure per household,Dried herbs and spices,16
2015,Atlantic Region,Average expenditure per household,Dried herbs and spices,17
2016,Atlantic Region,Average expenditure per household,Dried herbs and spices,17
2010,Atlantic Region,Average expenditure per household,Food seasonings (including table salt),15
2011,Atlantic Region,Average expenditure per household,Food seasonings (including table salt),18
2012,Atlantic Region,Average expenditure per household,Food seasonings (including table salt),16
2013,Atlantic Region,Average expenditure per household,Food seasonings (including table salt),19
2014,Atlantic Region,Average expenditure per household,Food seasonings (including table salt),18
2015,Atlantic Region,Average expenditure per household,Food seasonings (including table salt),24
2016,Atlantic Region,Average expenditure per household,Food seasonings (including table salt),26
2010,Atlantic Region,Average expenditure per household,Ketchup,14
2011,Atlantic Region,Average expenditure per household,Ketchup,13
2012,Atlantic Region,Average expenditure per household,Ketchup,16
2013,Atlantic Region,Average expenditure per household,Ketchup,14
2014,Atlantic Region,Average expenditure per household,Ketchup,13
2015,Atlantic Region,Average expenditure per household,Ketchup,15
2016,Atlantic Region,Average expenditure per household,Ketchup,12
2010,Atlantic Region,Average expenditure per household,Pickled vegetables (including olives),13
2011,Atlantic Region,Average expenditure per household,Pickled vegetables (including olives),12
2012,Atlantic Region,Average expenditure per household,Pickled vegetables (including olives),14
2013,Atlantic Region,Average expenditure per household,Pickled vegetables (including olives),12
2014,Atlantic Region,Average expenditure per household,Pickled vegetables (including olives),12
2015,Atlantic Region,Average expenditure per household,Pickled vegetables (including olives),15
2016,Atlantic Region,Average expenditure per household,Pickled vegetables (including olives),18
2010,Atlantic Region,Average expenditure per household,Fresh herbs,3
2011,Atlantic Region,Average expenditure per household,Fresh herbs,5
2012,Atlantic Region,Average expenditure per household,Fresh herbs,2
2013,Atlantic Region,Average expenditure per household,Fresh herbs,5
2014,Atlantic Region,Average expenditure per household,Fresh herbs,3
2015,Atlantic Region,Average expenditure per household,Fresh herbs,3
2016,Atlantic Region,Average expenditure per household,Fresh herbs,6
2010,Atlantic Region,Average expenditure per household,Other condiments (including vinegar),19
2011,Atlantic Region,Average expenditure per household,Other condiments (including vinegar),21
2012,Atlantic Region,Average expenditure per household,Other condiments (including vinegar),18
2013,Atlantic Region,Average expenditure per household,Other condiments (including vinegar),17
2014,Atlantic Region,Average expenditure per household,Other condiments (including vinegar),18
2015,Atlantic Region,Average expenditure per household,Other condiments (including vinegar),21
2016,Atlantic Region,Average expenditure per household,Other condiments (including vinegar),20
2010,Atlantic Region,Average expenditure per household,Infant food,22
2011,Atlantic Region,Average expenditure per household,Infant food,19
2012,Atlantic Region,Average expenditure per household,Infant food,34
2013,Atlantic Region,Average expenditure per household,Infant food,15
2014,Atlantic Region,Average expenditure per household,Infant food,32
2015,Atlantic Region,Average expenditure per household,Infant food,16
2016,Atlantic Region,Average expenditure per household,Infant food,15
2010,Atlantic Region,Average expenditure per household,Frozen prepared food,144
2011,Atlantic Region,Average expenditure per household,Frozen prepared food,143
2012,Atlantic Region,Average expenditure per household,Frozen prepared food,148
2013,Atlantic Region,Average expenditure per household,Frozen prepared food,129
2014,Atlantic Region,Average expenditure per household,Frozen prepared food,131
2015,Atlantic Region,Average expenditure per household,Frozen prepared food,135
2016,Atlantic Region,Average expenditure per household,Frozen prepared food,122
2010,Atlantic Region,Average expenditure per household,Soup (except infant soup),63
2011,Atlantic Region,Average expenditure per household,Soup (except infant soup),60
2012,Atlantic Region,Average expenditure per household,Soup (except infant soup),56
2013,Atlantic Region,Average expenditure per household,Soup (except infant soup),56
2014,Atlantic Region,Average expenditure per household,Soup (except infant soup),50
2015,Atlantic Region,Average expenditure per household,Soup (except infant soup),50
2016,Atlantic Region,Average expenditure per household,Soup (except infant soup),53
2010,Atlantic Region,Average expenditure per household,Ready-to-serve prepared food,48
2011,Atlantic Region,Average expenditure per household,Ready-to-serve prepared food,72
2012,Atlantic Region,Average expenditure per household,Ready-to-serve prepared food,63
2013,Atlantic Region,Average expenditure per household,Ready-to-serve prepared food,66
2014,Atlantic Region,Average expenditure per household,Ready-to-serve prepared food,62
2015,Atlantic Region,Average expenditure per household,Ready-to-serve prepared food,73
2016,Atlantic Region,Average expenditure per household,Ready-to-serve prepared food,85
2010,Atlantic Region,Average expenditure per household,Snack food,96
2011,Atlantic Region,Average expenditure per household,Snack food,101
2012,Atlantic Region,Average expenditure per household,Snack food,103
2013,Atlantic Region,Average expenditure per household,Snack food,103
2014,Atlantic Region,Average expenditure per household,Snack food,117
2015,Atlantic Region,Average expenditure per household,Snack food,107
2016,Atlantic Region,Average expenditure per household,Snack food,118
2010,Atlantic Region,Average expenditure per household,Potato-based snack foods,87
2011,Atlantic Region,Average expenditure per household,Potato-based snack foods,89
2012,Atlantic Region,Average expenditure per household,Potato-based snack foods,91
2013,Atlantic Region,Average expenditure per household,Potato-based snack foods,88
2014,Atlantic Region,Average expenditure per household,Potato-based snack foods,97
2015,Atlantic Region,Average expenditure per household,Potato-based snack foods,96
2016,Atlantic Region,Average expenditure per household,Potato-based snack foods,104
2010,Atlantic Region,Average expenditure per household,Other snack foods,10
2011,Atlantic Region,Average expenditure per household,Other snack foods,12
2012,Atlantic Region,Average expenditure per household,Other snack foods,12
2013,Atlantic Region,Average expenditure per household,Other snack foods,14
2014,Atlantic Region,Average expenditure per household,Other snack foods,19
2015,Atlantic Region,Average expenditure per household,Other snack foods,12
2016,Atlantic Region,Average expenditure per household,Other snack foods,14
2010,Atlantic Region,Average expenditure per household,Other food preparations,93
2011,Atlantic Region,Average expenditure per household,Other food preparations,97
2012,Atlantic Region,Average expenditure per household,Other food preparations,106
2013,Atlantic Region,Average expenditure per household,Other food preparations,98
2014,Atlantic Region,Average expenditure per household,Other food preparations,105
2015,Atlantic Region,Average expenditure per household,Other food preparations,107
2016,Atlantic Region,Average expenditure per household,Other food preparations,108
2010,Atlantic Region,Average expenditure per household,Peanut butter and other nut butters,24
2011,Atlantic Region,Average expenditure per household,Peanut butter and other nut butters,23
2012,Atlantic Region,Average expenditure per household,Peanut butter and other nut butters,26
2013,Atlantic Region,Average expenditure per household,Peanut butter and other nut butters,22
2014,Atlantic Region,Average expenditure per household,Peanut butter and other nut butters,25
2015,Atlantic Region,Average expenditure per household,Peanut butter and other nut butters,27
2016,Atlantic Region,Average expenditure per household,Peanut butter and other nut butters,33
2010,Atlantic Region,Average expenditure per household,Honey,4
2011,Atlantic Region,Average expenditure per household,Honey,4
2012,Atlantic Region,Average expenditure per household,Honey,7
2013,Atlantic Region,Average expenditure per household,Honey,7
2014,Atlantic Region,Average expenditure per household,Honey,6
2015,Atlantic Region,Average expenditure per household,Honey,8
2016,Atlantic Region,Average expenditure per household,Honey,7
2010,Atlantic Region,Average expenditure per household,Dessert powders,21
2011,Atlantic Region,Average expenditure per household,Dessert powders,24
2012,Atlantic Region,Average expenditure per household,Dessert powders,20
2013,Atlantic Region,Average expenditure per household,Dessert powders,19
2014,Atlantic Region,Average expenditure per household,Dessert powders,19
2015,Atlantic Region,Average expenditure per household,Dessert powders,18
2016,Atlantic Region,Average expenditure per household,Dessert powders,17
2010,Atlantic Region,Average expenditure per household,Tofu,5
2011,Atlantic Region,Average expenditure per household,Tofu,5
2012,Atlantic Region,Average expenditure per household,Tofu,7
2013,Atlantic Region,Average expenditure per household,Tofu,F
2014,Atlantic Region,Average expenditure per household,Tofu,F
2015,Atlantic Region,Average expenditure per household,Tofu,F
2016,Atlantic Region,Average expenditure per household,Tofu,5
2010,Atlantic Region,Average expenditure per household,"Other canned, bottled or dried meals",8
2011,Atlantic Region,Average expenditure per household,"Other canned, bottled or dried meals",10
2012,Atlantic Region,Average expenditure per household,"Other canned, bottled or dried meals",7
2013,Atlantic Region,Average expenditure per household,"Other canned, bottled or dried meals",8
2014,Atlantic Region,Average expenditure per household,"Other canned, bottled or dried meals",7
2015,Atlantic Region,Average expenditure per household,"Other canned, bottled or dried meals",9
2016,Atlantic Region,Average expenditure per household,"Other canned, bottled or dried meals",5
2010,Atlantic Region,Average expenditure per household,Other materials for food preparation,13
2011,Atlantic Region,Average expenditure per household,Other materials for food preparation,15
2012,Atlantic Region,Average expenditure per household,Other materials for food preparation,23
2013,Atlantic Region,Average expenditure per household,Other materials for food preparation,20
2014,Atlantic Region,Average expenditure per household,Other materials for food preparation,21
2015,Atlantic Region,Average expenditure per household,Other materials for food preparation,24
2016,Atlantic Region,Average expenditure per household,Other materials for food preparation,22
2010,Atlantic Region,Average expenditure per household,Food purchased from restaurants,1720
2011,Atlantic Region,Average expenditure per household,Food purchased from restaurants,1828
2012,Atlantic Region,Average expenditure per household,Food purchased from restaurants,1920
2013,Atlantic Region,Average expenditure per household,Food purchased from restaurants,1765
2014,Atlantic Region,Average expenditure per household,Food purchased from restaurants,1936
2015,Atlantic Region,Average expenditure per household,Food purchased from restaurants,1932
2016,Atlantic Region,Average expenditure per household,Food purchased from restaurants,2090
2010,Atlantic Region,Average expenditure per household,Restaurant meals,1445
2011,Atlantic Region,Average expenditure per household,Restaurant meals,1535
2012,Atlantic Region,Average expenditure per household,Restaurant meals,1606
2013,Atlantic Region,Average expenditure per household,Restaurant meals,1507
2014,Atlantic Region,Average expenditure per household,Restaurant meals,1629
2015,Atlantic Region,Average expenditure per household,Restaurant meals,1630
2016,Atlantic Region,Average expenditure per household,Restaurant meals,1792
2010,Atlantic Region,Average expenditure per household,Restaurant dinners,813
2011,Atlantic Region,Average expenditure per household,Restaurant dinners,872
2012,Atlantic Region,Average expenditure per household,Restaurant dinners,900
2013,Atlantic Region,Average expenditure per household,Restaurant dinners,848
2014,Atlantic Region,Average expenditure per household,Restaurant dinners,920
2015,Atlantic Region,Average expenditure per household,Restaurant dinners,929
2016,Atlantic Region,Average expenditure per household,Restaurant dinners,975
2010,Atlantic Region,Average expenditure per household,Restaurant lunches,509
2011,Atlantic Region,Average expenditure per household,Restaurant lunches,529
2012,Atlantic Region,Average expenditure per household,Restaurant lunches,577
2013,Atlantic Region,Average expenditure per household,Restaurant lunches,540
2014,Atlantic Region,Average expenditure per household,Restaurant lunches,560
2015,Atlantic Region,Average expenditure per household,Restaurant lunches,550
2016,Atlantic Region,Average expenditure per household,Restaurant lunches,654
2010,Atlantic Region,Average expenditure per household,Restaurant breakfasts,123
2011,Atlantic Region,Average expenditure per household,Restaurant breakfasts,133
2012,Atlantic Region,Average expenditure per household,Restaurant breakfasts,129
2013,Atlantic Region,Average expenditure per household,Restaurant breakfasts,119
2014,Atlantic Region,Average expenditure per household,Restaurant breakfasts,149
2015,Atlantic Region,Average expenditure per household,Restaurant breakfasts,150
2016,Atlantic Region,Average expenditure per household,Restaurant breakfasts,162
2010,Atlantic Region,Average expenditure per household,Restaurant snacks and beverages,276
2011,Atlantic Region,Average expenditure per household,Restaurant snacks and beverages,293
2012,Atlantic Region,Average expenditure per household,Restaurant snacks and beverages,314
2013,Atlantic Region,Average expenditure per household,Restaurant snacks and beverages,258
2014,Atlantic Region,Average expenditure per household,Restaurant snacks and beverages,307
2015,Atlantic Region,Average expenditure per household,Restaurant snacks and beverages,303
2016,Atlantic Region,Average expenditure per household,Restaurant snacks and beverages,299
2010,Newfoundland and Labrador,Average expenditure per household,Food expenditures,7591
2011,Newfoundland and Labrador,Average expenditure per household,Food expenditures,7749
2012,Newfoundland and Labrador,Average expenditure per household,Food expenditures,7830
2013,Newfoundland and Labrador,Average expenditure per household,Food expenditures,7939
2014,Newfoundland and Labrador,Average expenditure per household,Food expenditures,8489
2015,Newfoundland and Labrador,Average expenditure per household,Food expenditures,8264
2016,Newfoundland and Labrador,Average expenditure per household,Food expenditures,8938
2010,Newfoundland and Labrador,Average expenditure per household,Food purchased from stores,5925
2011,Newfoundland and Labrador,Average expenditure per household,Food purchased from stores,5937
2012,Newfoundland and Labrador,Average expenditure per household,Food purchased from stores,6125
2013,Newfoundland and Labrador,Average expenditure per household,Food purchased from stores,5988
2014,Newfoundland and Labrador,Average expenditure per household,Food purchased from stores,6606
2015,Newfoundland and Labrador,Average expenditure per household,Food purchased from stores,6352
2016,Newfoundland and Labrador,Average expenditure per household,Food purchased from stores,6758
2010,Newfoundland and Labrador,Average expenditure per household,Bakery products,598
2011,Newfoundland and Labrador,Average expenditure per household,Bakery products,594
2012,Newfoundland and Labrador,Average expenditure per household,Bakery products,616
2013,Newfoundland and Labrador,Average expenditure per household,Bakery products,598
2014,Newfoundland and Labrador,Average expenditure per household,Bakery products,671
2015,Newfoundland and Labrador,Average expenditure per household,Bakery products,625
2016,Newfoundland and Labrador,Average expenditure per household,Bakery products,665
2010,Newfoundland and Labrador,Average expenditure per household,Bread and unsweetened rolls and buns,276
2011,Newfoundland and Labrador,Average expenditure per household,Bread and unsweetened rolls and buns,265
2012,Newfoundland and Labrador,Average expenditure per household,Bread and unsweetened rolls and buns,275
2013,Newfoundland and Labrador,Average expenditure per household,Bread and unsweetened rolls and buns,267
2014,Newfoundland and Labrador,Average expenditure per household,Bread and unsweetened rolls and buns,303
2015,Newfoundland and Labrador,Average expenditure per household,Bread and unsweetened rolls and buns,291
2016,Newfoundland and Labrador,Average expenditure per household,Bread and unsweetened rolls and buns,271
2010,Newfoundland and Labrador,Average expenditure per household,Cookies and crackers,151
2011,Newfoundland and Labrador,Average expenditure per household,Cookies and crackers,141
2012,Newfoundland and Labrador,Average expenditure per household,Cookies and crackers,169
2013,Newfoundland and Labrador,Average expenditure per household,Cookies and crackers,161
2014,Newfoundland and Labrador,Average expenditure per household,Cookies and crackers,160
2015,Newfoundland and Labrador,Average expenditure per household,Cookies and crackers,144
2016,Newfoundland and Labrador,Average expenditure per household,Cookies and crackers,175
2010,Newfoundland and Labrador,Average expenditure per household,Other bakery products,171
2011,Newfoundland and Labrador,Average expenditure per household,Other bakery products,188
2012,Newfoundland and Labrador,Average expenditure per household,Other bakery products,172
2013,Newfoundland and Labrador,Average expenditure per household,Other bakery products,171
2014,Newfoundland and Labrador,Average expenditure per household,Other bakery products,208
2015,Newfoundland and Labrador,Average expenditure per household,Other bakery products,190
2016,Newfoundland and Labrador,Average expenditure per household,Other bakery products,218
2010,Newfoundland and Labrador,Average expenditure per household,Other bakery products (except frozen),149
2011,Newfoundland and Labrador,Average expenditure per household,Other bakery products (except frozen),165
2012,Newfoundland and Labrador,Average expenditure per household,Other bakery products (except frozen),146
2013,Newfoundland and Labrador,Average expenditure per household,Other bakery products (except frozen),157
2014,Newfoundland and Labrador,Average expenditure per household,Other bakery products (except frozen),182
2015,Newfoundland and Labrador,Average expenditure per household,Other bakery products (except frozen),167
2016,Newfoundland and Labrador,Average expenditure per household,Other bakery products (except frozen),190
2010,Newfoundland and Labrador,Average expenditure per household,Frozen bakery products,22
2011,Newfoundland and Labrador,Average expenditure per household,Frozen bakery products,23
2012,Newfoundland and Labrador,Average expenditure per household,Frozen bakery products,27
2013,Newfoundland and Labrador,Average expenditure per household,Frozen bakery products,14
2014,Newfoundland and Labrador,Average expenditure per household,Frozen bakery products,26
2015,Newfoundland and Labrador,Average expenditure per household,Frozen bakery products,24
2016,Newfoundland and Labrador,Average expenditure per household,Frozen bakery products,28
2010,Newfoundland and Labrador,Average expenditure per household,Cereal grains and cereal products,370
2011,Newfoundland and Labrador,Average expenditure per household,Cereal grains and cereal products,375
2012,Newfoundland and Labrador,Average expenditure per household,Cereal grains and cereal products,353
2013,Newfoundland and Labrador,Average expenditure per household,Cereal grains and cereal products,339
2014,Newfoundland and Labrador,Average expenditure per household,Cereal grains and cereal products,372
2015,Newfoundland and Labrador,Average expenditure per household,Cereal grains and cereal products,345
2016,Newfoundland and Labrador,Average expenditure per household,Cereal grains and cereal products,419
2010,Newfoundland and Labrador,Average expenditure per household,Rice and rice mixes,31
2011,Newfoundland and Labrador,Average expenditure per household,Rice and rice mixes,30
2012,Newfoundland and Labrador,Average expenditure per household,Rice and rice mixes,30
2013,Newfoundland and Labrador,Average expenditure per household,Rice and rice mixes,23
2014,Newfoundland and Labrador,Average expenditure per household,Rice and rice mixes,25
2015,Newfoundland and Labrador,Average expenditure per household,Rice and rice mixes,23
2016,Newfoundland and Labrador,Average expenditure per household,Rice and rice mixes,34
2010,Newfoundland and Labrador,Average expenditure per household,Pasta products,64
2011,Newfoundland and Labrador,Average expenditure per household,Pasta products,64
2012,Newfoundland and Labrador,Average expenditure per household,Pasta products,64
2013,Newfoundland and Labrador,Average expenditure per household,Pasta products,49
2014,Newfoundland and Labrador,Average expenditure per household,Pasta products,52
2015,Newfoundland and Labrador,Average expenditure per household,Pasta products,42
2016,Newfoundland and Labrador,Average expenditure per household,Pasta products,63
2010,Newfoundland and Labrador,Average expenditure per household,Pasta (fresh or dry),28
2011,Newfoundland and Labrador,Average expenditure per household,Pasta (fresh or dry),25
2012,Newfoundland and Labrador,Average expenditure per household,Pasta (fresh or dry),27
2013,Newfoundland and Labrador,Average expenditure per household,Pasta (fresh or dry),20
2014,Newfoundland and Labrador,Average expenditure per household,Pasta (fresh or dry),23
2015,Newfoundland and Labrador,Average expenditure per household,Pasta (fresh or dry),21
2016,Newfoundland and Labrador,Average expenditure per household,Pasta (fresh or dry),25
2010,Newfoundland and Labrador,Average expenditure per household,Pasta (canned),10
2011,Newfoundland and Labrador,Average expenditure per household,Pasta (canned),11
2012,Newfoundland and Labrador,Average expenditure per household,Pasta (canned),17
2013,Newfoundland and Labrador,Average expenditure per household,Pasta (canned),11
2014,Newfoundland and Labrador,Average expenditure per household,Pasta (canned),10
2015,Newfoundland and Labrador,Average expenditure per household,Pasta (canned),7
2016,Newfoundland and Labrador,Average expenditure per household,Pasta (canned),8
2010,Newfoundland and Labrador,Average expenditure per household,Pasta mixes,26
2011,Newfoundland and Labrador,Average expenditure per household,Pasta mixes,29
2012,Newfoundland and Labrador,Average expenditure per household,Pasta mixes,21
2013,Newfoundland and Labrador,Average expenditure per household,Pasta mixes,18
2014,Newfoundland and Labrador,Average expenditure per household,Pasta mixes,19
2015,Newfoundland and Labrador,Average expenditure per household,Pasta mixes,14
2016,Newfoundland and Labrador,Average expenditure per household,Pasta mixes,29
2010,Newfoundland and Labrador,Average expenditure per household,Other cereal grains and cereal products,275
2011,Newfoundland and Labrador,Average expenditure per household,Other cereal grains and cereal products,281
2012,Newfoundland and Labrador,Average expenditure per household,Other cereal grains and cereal products,259
2013,Newfoundland and Labrador,Average expenditure per household,Other cereal grains and cereal products,266
2014,Newfoundland and Labrador,Average expenditure per household,Other cereal grains and cereal products,295
2015,Newfoundland and Labrador,Average expenditure per household,Other cereal grains and cereal products,280
2016,Newfoundland and Labrador,Average expenditure per household,Other cereal grains and cereal products,322
2010,Newfoundland and Labrador,Average expenditure per household,Flour and flour-based mixes,38
2011,Newfoundland and Labrador,Average expenditure per household,Flour and flour-based mixes,39
2012,Newfoundland and Labrador,Average expenditure per household,Flour and flour-based mixes,42
2013,Newfoundland and Labrador,Average expenditure per household,Flour and flour-based mixes,41
2014,Newfoundland and Labrador,Average expenditure per household,Flour and flour-based mixes,49
2015,Newfoundland and Labrador,Average expenditure per household,Flour and flour-based mixes,33
2016,Newfoundland and Labrador,Average expenditure per household,Flour and flour-based mixes,42
2010,Newfoundland and Labrador,Average expenditure per household,Breakfast cereal and other grain products (except infant),237
2011,Newfoundland and Labrador,Average expenditure per household,Breakfast cereal and other grain products (except infant),241
2012,Newfoundland and Labrador,Average expenditure per household,Breakfast cereal and other grain products (except infant),217
2013,Newfoundland and Labrador,Average expenditure per household,Breakfast cereal and other grain products (except infant),225
2014,Newfoundland and Labrador,Average expenditure per household,Breakfast cereal and other grain products (except infant),247
2015,Newfoundland and Labrador,Average expenditure per household,Breakfast cereal and other grain products (except infant),247
2016,Newfoundland and Labrador,Average expenditure per household,Breakfast cereal and other grain products (except infant),280
2010,Newfoundland and Labrador,Average expenditure per household,Breakfast cereal (except infant cereals),99
2011,Newfoundland and Labrador,Average expenditure per household,Breakfast cereal (except infant cereals),110
